Player,Team,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Isaac Bonga,WAS,8/11/20,2019-20,L,30,10,5,6,83.3,0,1,0,0,0,-,1,2,3,2,1,1,3,3,-15
Moritz Wagner,WAS,8/11/20,2019-20,L,20,6,1,3,33.3,0,2,0,4,4,100,0,3,3,2,0,0,0,1,-6
Jerome Robinson,WAS,8/11/20,2019-20,L,33,15,4,11,36.4,2,6,33.3,5,7,71.4,0,4,4,7,0,0,1,1,0
Anzejs Pasecniks,WAS,8/11/20,2019-20,L,21,10,4,9,44.4,0,1,0,2,4,50,3,3,6,1,1,0,1,4,2
D.J. Wilson,MIL,8/11/20,2019-20,W,23,11,4,6,66.7,1,3,33.3,2,4,50,0,5,5,0,0,0,2,4,-3
Pat Connaughton,MIL,8/11/20,2019-20,W,24,10,3,7,42.9,2,4,50,2,2,100,1,7,8,3,1,0,0,0,14
Ish Smith,WAS,8/11/20,2019-20,L,26,19,8,15,53.3,1,2,50,2,2,100,0,3,3,5,0,0,2,3,-7
George Hill,MIL,8/11/20,2019-20,W,23,5,2,8,25,1,4,25,0,0,-,0,2,2,6,1,0,1,2,17
Brook Lopez,MIL,8/11/20,2019-20,W,23,24,9,11,81.8,5,5,100,1,1,100,1,2,3,0,0,0,2,2,14
Kyle Korver,MIL,8/11/20,2019-20,W,25,3,1,6,16.7,1,5,20,0,0,-,1,6,7,2,0,0,0,2,13
Rui Hachimura,WAS,8/11/20,2019-20,L,29,20,6,18,33.3,3,9,33.3,5,6,83.3,2,3,5,1,0,0,2,4,-14
Troy Brown Jr.,WAS,8/11/20,2019-20,L,30,9,3,15,20,1,4,25,2,2,100,1,5,6,3,0,0,1,2,-17
Bogdan Bogdanovic,SAC,8/11/20,2019-20,W,38,16,7,10,70,1,2,50,1,1,100,2,4,6,7,2,0,4,0,15
Kenrich Williams,NOP,8/11/20,2019-20,L,18,4,2,3,66.7,0,0,-,0,0,-,0,1,1,2,0,0,1,3,-7
Sindarius Thornwell,NOP,8/11/20,2019-20,L,16,7,3,5,60,1,1,100,0,0,-,0,2,2,3,1,0,0,1,-3
Buddy Hield,SAC,8/11/20,2019-20,W,19,11,4,5,80,3,4,75,0,0,-,0,2,2,3,0,0,3,2,-9
Jahlil Okafor,NOP,8/11/20,2019-20,L,26,21,9,11,81.8,0,0,-,3,4,75,1,3,4,1,0,2,1,2,3
DaQuan Jeffries,SAC,8/11/20,2019-20,W,14,3,1,5,20,0,1,0,1,2,50,0,1,1,0,0,0,0,3,-1
Harry Giles III,SAC,8/11/20,2019-20,W,25,12,6,17,35.3,0,1,0,0,0,-,4,7,11,3,0,2,4,5,-2
Yogi Ferrell,SAC,8/11/20,2019-20,W,11,6,3,5,60,0,1,0,0,0,-,0,0,0,2,0,0,2,3,-4
Jabari Parker,SAC,8/11/20,2019-20,W,14,12,6,6,100,0,0,-,0,0,-,2,2,4,1,0,1,1,1,4
Alex Len,SAC,8/11/20,2019-20,W,13,6,2,3,66.7,2,2,100,0,0,-,0,4,4,1,0,0,0,4,1
Harrison Barnes,SAC,8/11/20,2019-20,W,37,25,9,19,47.4,3,5,60,4,4,100,4,4,8,2,0,2,0,0,2
Cory Joseph,SAC,8/11/20,2019-20,W,37,8,1,9,11.1,0,5,0,6,6,100,1,3,4,6,0,0,3,1,10
Nemanja Bjelica,SAC,8/11/20,2019-20,W,33,13,4,9,44.4,2,5,40,3,3,100,1,4,5,2,2,1,3,3,14
Nicolo Melli,NOP,8/11/20,2019-20,L,25,5,1,10,10,0,4,0,3,4,75,0,4,4,1,0,0,2,3,0
Nickeil Alexander-Walker,NOP,8/11/20,2019-20,L,25,9,3,10,30,1,5,20,2,2,100,0,0,0,6,2,1,3,2,6
Jaxson Hayes,NOP,8/11/20,2019-20,L,22,9,4,4,100,0,0,-,1,1,100,1,4,5,0,1,1,2,2,-9
Josh Hart,NOP,8/11/20,2019-20,L,30,3,1,8,12.5,0,5,0,1,2,50,0,10,10,1,2,0,2,1,1
Frank Jackson,NOP,8/11/20,2019-20,L,25,18,8,11,72.7,1,2,50,1,2,50,1,0,1,4,1,0,3,1,-2
Lonzo Ball,NOP,8/11/20,2019-20,L,29,16,5,9,55.6,4,6,66.7,2,2,100,1,2,3,4,0,2,4,3,-4
E'Twaun Moore,NOP,8/11/20,2019-20,L,24,14,6,11,54.5,0,1,0,2,2,100,1,3,4,3,1,0,1,0,-15
CJ McCollum,POR,8/11/20,2019-20,W,39,8,2,14,14.3,1,5,20,3,3,100,1,3,4,2,0,0,0,5,-25
Michael Kidd-Gilchrist,DAL,8/11/20,2019-20,L,7,2,1,1,100,0,0,-,0,1,0,0,1,1,0,0,0,1,2,3
Hassan Whiteside,POR,8/11/20,2019-20,W,19,8,3,3,100,0,0,-,2,2,100,3,5,8,1,1,2,0,4,15
Maxi Kleber,DAL,8/11/20,2019-20,L,27,12,4,9,44.4,3,8,37.5,1,2,50,1,3,4,0,2,1,3,3,-10
Dorian Finney-Smith,DAL,8/11/20,2019-20,L,30,15,6,8,75,3,5,60,0,0,-,1,3,4,1,0,0,0,4,9
Carmelo Anthony,POR,8/11/20,2019-20,W,35,26,10,17,58.8,3,5,60,3,4,75,0,8,8,2,2,0,1,3,12
Mario Hezonja,POR,8/11/20,2019-20,W,22,3,1,5,20,0,3,0,1,2,50,0,5,5,4,1,0,0,3,7
Delon Wright,DAL,8/11/20,2019-20,L,23,1,0,4,0,0,1,0,1,2,50,1,2,3,5,1,0,1,1,4
