Player,Team,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Justin Robinson,WAS,12/14/19,2019-20,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,0,0,7
Garrison Mathews,WAS,12/14/19,2019-20,L,5,3,1,1,100,1,1,100,0,0,-,0,1,1,0,0,0,1,0,-3
Marko Guduric,MEM,12/14/19,2019-20,W,17,4,1,4,25,0,2,0,2,2,100,0,3,3,2,0,1,1,1,-1
Kyle Anderson,MEM,12/14/19,2019-20,W,26,2,1,5,20,0,1,0,0,0,-,1,4,5,5,1,1,2,2,4
De'Anthony Melton,MEM,12/14/19,2019-20,W,22,7,2,4,50,0,0,-,3,4,75,1,3,4,4,1,0,4,5,13
Troy Brown Jr.,WAS,12/14/19,2019-20,L,31,16,5,8,62.5,0,1,0,6,7,85.7,2,0,2,5,1,0,2,0,-12
Ja Morant,MEM,12/14/19,2019-20,W,28,18,5,11,45.5,1,2,50,7,7,100,0,4,4,5,3,1,3,0,4
Tyus Jones,MEM,12/14/19,2019-20,W,20,9,4,5,80,1,2,50,0,0,-,0,1,1,9,2,0,1,2,14
Bruno Caboclo,MEM,12/14/19,2019-20,W,5,2,1,3,33.3,0,2,0,0,0,-,0,1,1,0,0,0,0,0,-7
Bradley Beal,WAS,12/14/19,2019-20,L,34,29,8,23,34.8,5,13,38.5,8,12,66.7,4,6,10,4,4,0,6,4,-26
Admiral Schofield,WAS,12/14/19,2019-20,L,21,14,5,8,62.5,3,5,60,1,2,50,0,2,2,3,1,0,0,4,4
Brandon Clarke,MEM,12/14/19,2019-20,W,24,25,11,14,78.6,1,1,100,2,2,100,0,4,4,0,0,0,1,2,18
Chris Chiozza,WAS,12/14/19,2019-20,L,18,8,3,6,50,2,5,40,0,0,-,0,4,4,2,2,0,2,2,2
Dillon Brooks,MEM,12/14/19,2019-20,W,26,27,10,17,58.8,2,7,28.6,5,6,83.3,1,1,2,3,3,0,2,5,6
Isaac Bonga,WAS,12/14/19,2019-20,L,26,2,0,3,0,0,1,0,2,2,100,2,1,3,0,0,1,1,2,-2
Jaren Jackson Jr.,MEM,12/14/19,2019-20,W,24,16,6,10,60,2,4,50,2,3,66.7,0,4,4,1,1,2,1,4,7
Ish Smith,WAS,12/14/19,2019-20,L,28,14,6,11,54.5,1,3,33.3,1,1,100,1,2,3,4,3,0,4,0,-20
Jonas Valanciunas,MEM,12/14/19,2019-20,W,29,6,3,6,50,0,1,0,0,0,-,5,7,12,0,0,2,6,3,11
Rui Hachimura,WAS,12/14/19,2019-20,L,29,10,4,10,40,1,2,50,1,2,50,0,4,4,0,0,0,0,3,-18
Davis Bertans,WAS,12/14/19,2019-20,L,25,9,2,9,22.2,1,6,16.7,4,4,100,0,2,2,2,1,2,1,4,-9
Ian Mahinmi,WAS,12/14/19,2019-20,L,17,4,1,5,20,0,1,0,2,2,100,2,1,3,1,0,1,1,3,-8
Solomon Hill,MEM,12/14/19,2019-20,W,11,12,4,4,100,4,4,100,0,0,-,0,3,3,3,0,0,1,0,8
Chris Boucher,TOR,12/14/19,2019-20,W,6,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,1,0,0,-10
Shamorie Ponds,TOR,12/14/19,2019-20,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Oshae Brissett,TOR,12/14/19,2019-20,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-2
Terence Davis,TOR,12/14/19,2019-20,W,13,0,0,6,0,0,3,0,0,0,-,1,0,1,1,1,0,1,0,3
Henry Ellenson,BKN,12/14/19,2019-20,L,3,0,0,1,0,0,0,-,0,0,-,1,1,2,0,0,0,0,0,7
Pascal Siakam,TOR,12/14/19,2019-20,W,35,30,10,26,38.5,3,5,60,7,10,70,1,9,10,5,3,3,2,4,2
Theo Pinson,BKN,12/14/19,2019-20,L,11,3,1,5,20,0,3,0,1,1,100,0,3,3,1,0,1,4,0,5
Marc Gasol,TOR,12/14/19,2019-20,W,34,17,6,11,54.5,3,5,60,2,2,100,1,14,15,2,1,2,0,4,6
Patrick McCaw,TOR,12/14/19,2019-20,W,29,2,1,7,14.3,0,5,0,0,0,-,1,1,2,3,0,0,1,0,11
Garrett Temple,BKN,12/14/19,2019-20,L,32,16,6,19,31.6,2,14,14.3,2,3,66.7,0,4,4,2,0,0,4,2,-11
Kyle Lowry,TOR,12/14/19,2019-20,W,39,17,5,14,35.7,2,8,25,5,6,83.3,0,4,4,6,3,0,2,2,7
David Nwaba,BKN,12/14/19,2019-20,L,17,10,4,8,50,2,4,50,0,0,-,1,3,4,1,2,1,0,1,-9
Serge Ibaka,TOR,12/14/19,2019-20,W,21,12,4,7,57.1,0,1,0,4,4,100,5,7,12,1,2,2,1,3,3
DeAndre Jordan,BKN,12/14/19,2019-20,L,20,7,3,9,33.3,0,0,-,1,2,50,6,7,13,2,0,1,1,3,-3
Timothe Luwawu-Cabarrot,BKN,12/14/19,2019-20,L,17,7,3,6,50,1,3,33.3,0,0,-,0,1,1,0,0,0,2,0,-6
Spencer Dinwiddie,BKN,12/14/19,2019-20,L,34,24,8,18,44.4,2,6,33.3,6,7,85.7,0,2,2,8,1,1,1,0,-8
Joe Harris,BKN,12/14/19,2019-20,L,31,13,6,14,42.9,1,6,16.7,0,0,-,0,3,3,4,0,0,3,4,-2
Taurean Prince,BKN,12/14/19,2019-20,L,30,14,5,14,35.7,4,9,44.4,0,0,-,3,7,10,2,1,1,2,5,-10
Jarrett Allen,BKN,12/14/19,2019-20,L,25,7,3,3,100,0,0,-,1,2,50,1,9,10,1,0,1,1,2,-12
Dzanan Musa,BKN,12/14/19,2019-20,L,3,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,7
Rodions Kurucs,BKN,12/14/19,2019-20,L,18,1,0,3,0,0,1,0,1,2,50,1,6,7,3,0,1,2,3,2
Rondae Hollis-Jefferson,TOR,12/14/19,2019-20,W,7,2,0,4,0,0,2,0,2,2,100,0,2,2,1,0,0,0,0,-4
Norman Powell,TOR,12/14/19,2019-20,W,33,25,10,15,66.7,5,7,71.4,0,1,0,1,3,4,1,0,2,1,6,18
Malcolm Miller,TOR,12/14/19,2019-20,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
OG Anunoby,TOR,12/14/19,2019-20,W,21,5,2,7,28.6,1,3,33.3,0,0,-,0,1,1,1,0,0,2,3,10
Mike Muscala,OKC,12/14/19,2019-20,L,11,2,1,3,33.3,0,2,0,0,0,-,0,1,1,0,0,0,0,1,3
Steven Adams,OKC,12/14/19,2019-20,L,31,18,9,15,60,0,0,-,0,2,0,6,8,14,0,0,2,1,4,-10
Jamal Murray,DEN,12/14/19,2019-20,W,33,14,6,15,40,1,6,16.7,1,2,50,0,5,5,7,1,0,2,2,19
Jerami Grant,DEN,12/14/19,2019-20,W,32,13,4,8,50,0,2,0,5,6,83.3,1,3,4,1,1,1,2,4,16
Luguentz Dort,OKC,12/14/19,2019-20,L,12,0,0,1,0,0,1,0,0,0,-,0,1,1,1,0,0,0,0,0
Darius Bazley,OKC,12/14/19,2019-20,L,8,4,1,2,50,0,0,-,2,2,100,0,0,0,0,0,1,0,1,3
Abdel Nader,OKC,12/14/19,2019-20,L,26,14,5,7,71.4,1,2,50,3,3,100,0,1,1,2,1,0,2,3,-19
Nerlens Noel,OKC,12/14/19,2019-20,L,17,4,1,2,50,0,0,-,2,2,100,1,2,3,0,1,0,1,4,2
Danilo Gallinari,OKC,12/14/19,2019-20,L,30,7,1,13,7.7,1,7,14.3,4,4,100,0,4,4,2,1,0,3,1,-12
Mason Plumlee,DEN,12/14/19,2019-20,W,13,2,1,2,50,0,0,-,0,0,-,1,3,4,3,0,1,2,1,-7
Juancho Hernangomez,DEN,12/14/19,2019-20,W,12,8,3,6,50,0,2,0,2,4,50,2,2,4,0,0,0,1,1,-3
Monte Morris,DEN,12/14/19,2019-20,W,23,7,3,3,100,0,0,-,1,1,100,0,1,1,1,0,0,2,0,-12
Michael Porter Jr.,DEN,12/14/19,2019-20,W,4,0,0,2,0,0,1,0,0,0,-,0,0,0,0,0,1,0,1,-5
Dennis Schroder,OKC,12/14/19,2019-20,L,33,22,8,17,47.1,4,8,50,2,2,100,0,5,5,4,0,0,3,3,7
Will Barton,DEN,12/14/19,2019-20,W,29,18,7,14,50,1,3,33.3,3,4,75,3,3,6,1,2,0,1,4,7
Nikola Jokic,DEN,12/14/19,2019-20,W,35,28,11,14,78.6,3,6,50,3,4,75,1,13,14,12,1,0,3,2,15
Shai Gilgeous-Alexander,OKC,12/14/19,2019-20,L,38,16,7,13,53.8,0,1,0,2,2,100,0,4,4,3,0,0,2,4,-5
Gary Harris,DEN,12/14/19,2019-20,W,36,11,5,14,35.7,1,4,25,0,0,-,1,1,2,5,0,0,2,3,13
Chris Paul,OKC,12/14/19,2019-20,L,34,15,5,8,62.5,0,2,0,5,6,83.3,0,4,4,10,4,0,3,2,-9
Torrey Craig,DEN,12/14/19,2019-20,W,23,9,3,7,42.9,1,3,33.3,2,2,100,1,3,4,0,1,0,0,5,-3
Kyle Korver,MIL,12/14/19,2019-20,W,14,6,2,5,40,2,5,40,0,0,-,0,1,1,0,0,0,1,2,-3
Ersan Ilyasova,MIL,12/14/19,2019-20,W,17,11,3,5,60,1,3,33.3,4,4,100,1,2,3,2,0,0,1,2,20
Darius Garland,CLE,12/14/19,2019-20,L,30,10,4,11,36.4,2,5,40,0,0,-,1,3,4,5,0,0,3,0,0
Collin Sexton,CLE,12/14/19,2019-20,L,28,8,3,8,37.5,0,2,0,2,2,100,1,1,2,1,3,0,3,2,-26
Alfonzo McKinnie,CLE,12/14/19,2019-20,L,6,0,0,2,0,0,0,-,0,0,-,1,0,1,0,0,0,0,1,1
Ante Zizic,CLE,12/14/19,2019-20,L,6,6,3,3,100,0,0,-,0,0,-,0,2,2,0,0,0,0,1,1
Cedi Osman,CLE,12/14/19,2019-20,L,23,8,3,11,27.3,2,4,50,0,0,-,0,4,4,2,0,0,3,3,-21
Matthew Dellavedova,CLE,12/14/19,2019-20,L,12,5,2,5,40,1,3,33.3,0,0,-,0,0,0,3,0,0,1,3,-18
Brandon Knight,CLE,12/14/19,2019-20,L,7,4,1,3,33.3,1,2,50,1,2,50,0,0,0,1,0,0,1,0,3
Tristan Thompson,CLE,12/14/19,2019-20,L,27,12,6,11,54.5,0,0,-,0,0,-,7,2,9,2,1,1,1,2,-35
Kevin Love,CLE,12/14/19,2019-20,L,26,12,4,10,40,2,4,50,2,3,66.7,1,9,10,4,1,0,3,0,-35
Jordan Clarkson,CLE,12/14/19,2019-20,L,18,13,5,9,55.6,3,6,50,0,0,-,0,0,0,3,2,0,1,0,7
Robin Lopez,MIL,12/14/19,2019-20,W,21,16,7,10,70,1,3,33.3,1,1,100,2,4,6,1,1,1,2,1,9
Kevin Porter Jr.,CLE,12/14/19,2019-20,L,25,15,4,9,44.4,1,4,25,6,8,75,0,0,0,2,1,0,1,4,4
John Henson,CLE,12/14/19,2019-20,L,15,8,3,3,100,2,2,100,0,0,-,1,5,6,1,1,1,1,2,17
Donte DiVincenzo,MIL,12/14/19,2019-20,W,25,15,6,8,75,1,2,50,2,2,100,0,5,5,4,3,0,1,3,4
Larry Nance Jr.,CLE,12/14/19,2019-20,L,16,7,3,5,60,1,3,33.3,0,0,-,0,7,7,3,1,1,0,1,17
Frank Mason,MIL,12/14/19,2019-20,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,2,1,0,1,1,1
Sterling Brown,MIL,12/14/19,2019-20,W,20,6,2,7,28.6,1,4,25,1,2,50,0,1,1,0,1,0,1,0,0
D.J. Wilson,MIL,12/14/19,2019-20,W,5,0,0,1,0,0,1,0,0,0,-,0,1,1,0,0,1,0,0,-2
Giannis Antetokounmpo,MIL,12/14/19,2019-20,W,24,29,12,20,60,2,5,40,3,7,42.9,1,3,4,4,1,1,1,1,5
Khris Middleton,MIL,12/14/19,2019-20,W,23,24,8,12,66.7,3,4,75,5,6,83.3,1,1,2,6,1,0,1,1,21
Wesley Matthews,MIL,12/14/19,2019-20,W,17,0,0,3,0,0,3,0,0,0,-,0,4,4,1,3,0,0,2,10
George Hill,MIL,12/14/19,2019-20,W,22,11,4,8,50,2,4,50,1,2,50,2,3,5,1,1,0,2,0,13
Brook Lopez,MIL,12/14/19,2019-20,W,27,5,1,4,25,1,3,33.3,2,2,100,0,4,4,2,0,2,0,4,8
Pat Connaughton,MIL,12/14/19,2019-20,W,22,2,1,2,50,0,0,-,0,0,-,1,3,4,3,0,1,1,0,-1
Kelly Olynyk,MIA,12/14/19,2019-20,W,27,17,5,6,83.3,3,4,75,4,4,100,1,7,8,1,1,0,0,1,-4
Tim Hardaway Jr.,DAL,12/14/19,2019-20,L,42,28,11,22,50,6,14,42.9,0,0,-,0,5,5,3,0,0,3,0,-7
Kristaps Porzingis,DAL,12/14/19,2019-20,L,40,22,7,21,33.3,3,9,33.3,5,7,71.4,3,11,14,2,1,2,1,4,0
Meyers Leonard,MIA,12/14/19,2019-20,W,16,10,4,7,57.1,2,5,40,0,0,-,0,4,4,1,0,0,0,2,4
Luka Doncic,DAL,12/14/19,2019-20,L,2,2,0,1,0,0,1,0,2,2,100,0,1,1,0,0,0,1,0,-4
Justin Jackson,DAL,12/14/19,2019-20,L,12,2,1,3,33.3,0,1,0,0,0,-,0,3,3,0,0,0,0,3,5
Jimmy Butler,MIA,12/14/19,2019-20,W,43,27,8,22,36.4,1,6,16.7,10,12,83.3,1,3,4,7,1,0,2,2,7
Tyler Herro,MIA,12/14/19,2019-20,W,39,19,4,14,28.6,3,6,50,8,8,100,1,5,6,2,0,0,0,0,1
Kendrick Nunn,MIA,12/14/19,2019-20,W,38,13,5,14,35.7,3,6,50,0,0,-,0,6,6,4,1,0,3,4,9
Duncan Robinson,MIA,12/14/19,2019-20,W,36,9,3,10,30,3,10,30,0,0,-,0,6,6,1,0,0,0,2,-6
Jalen Brunson,DAL,12/14/19,2019-20,L,34,18,7,16,43.8,3,6,50,1,2,50,0,7,7,8,0,0,4,5,14
Maxi Kleber,DAL,12/14/19,2019-20,L,30,17,7,9,77.8,2,3,66.7,1,1,100,1,2,3,3,0,1,0,3,5
Bam Adebayo,MIA,12/14/19,2019-20,W,37,18,7,12,58.3,0,0,-,4,7,57.1,2,9,11,10,2,2,1,4,15
J.J. Barea,DAL,12/14/19,2019-20,L,13,12,5,11,45.5,2,5,40,0,0,-,0,2,2,5,0,0,0,3,-2
Seth Curry,DAL,12/14/19,2019-20,L,19,6,3,8,37.5,0,2,0,0,0,-,0,1,1,2,0,0,1,1,-1
Dwight Powell,DAL,12/14/19,2019-20,L,27,8,3,6,50,1,2,50,1,3,33.3,2,2,4,2,1,0,0,1,-10
Delon Wright,DAL,12/14/19,2019-20,L,9,0,0,1,0,0,0,-,0,0,-,1,1,2,2,1,0,1,1,-14
Derrick Jones Jr.,MIA,12/14/19,2019-20,W,29,9,3,6,50,1,3,33.3,2,3,66.7,0,4,4,1,3,1,2,3,-6
Dorian Finney-Smith,DAL,12/14/19,2019-20,L,37,3,1,3,33.3,0,1,0,1,2,50,1,5,6,3,1,0,0,6,-6
Austin Rivers,HOU,12/14/19,2019-20,L,28,14,6,14,42.9,1,4,25,1,2,50,0,5,5,5,0,2,0,2,9
Chris Clemons,HOU,12/14/19,2019-20,L,16,17,6,12,50,5,11,45.5,0,0,-,0,4,4,0,2,2,2,2,6
Langston Galloway,DET,12/14/19,2019-20,W,21,10,4,7,57.1,2,4,50,0,0,-,0,1,1,0,0,0,0,1,7
Christian Wood,DET,12/14/19,2019-20,W,22,11,4,8,50,0,3,0,3,5,60,2,10,12,1,0,1,1,0,0
Danuel House Jr.,HOU,12/14/19,2019-20,L,34,9,4,11,36.4,1,3,33.3,0,1,0,3,4,7,0,1,0,2,2,-14
James Harden,HOU,12/14/19,2019-20,L,38,39,14,33,42.4,4,13,30.8,7,8,87.5,2,4,6,7,1,0,4,4,-11
Ben McLemore,HOU,12/14/19,2019-20,L,33,13,4,8,50,1,4,25,4,6,66.7,0,0,0,0,3,0,1,3,-10
Clint Capela,HOU,12/14/19,2019-20,L,35,12,6,13,46.2,0,0,-,0,1,0,4,15,19,1,1,3,0,2,-6
Gary Clark,HOU,12/14/19,2019-20,L,14,0,0,3,0,0,3,0,0,0,-,1,0,1,2,0,1,0,2,4
Blake Griffin,DET,12/14/19,2019-20,W,15,2,0,7,0,0,3,0,2,2,100,1,1,2,2,0,0,1,0,4
Tony Snell,DET,12/14/19,2019-20,W,32,15,4,7,57.1,3,6,50,4,4,100,0,5,5,0,1,1,0,1,1
Thon Maker,DET,12/14/19,2019-20,W,25,4,1,4,25,0,0,-,2,2,100,3,3,6,1,0,2,1,3,8
Luke Kennard,DET,12/14/19,2019-20,W,34,22,6,13,46.2,4,7,57.1,6,6,100,0,7,7,3,0,1,2,2,8
Svi Mykhailiuk,DET,12/14/19,2019-20,W,5,0,0,3,0,0,3,0,0,0,-,0,0,0,0,0,0,0,1,4
Markieff Morris,DET,12/14/19,2019-20,W,27,15,6,13,46.2,3,6,50,0,0,-,3,5,8,2,1,0,5,1,4
Derrick Rose,DET,12/14/19,2019-20,W,27,20,10,21,47.6,0,4,0,0,0,-,2,2,4,12,0,0,2,2,-6
P.J. Tucker,HOU,12/14/19,2019-20,L,41,3,1,8,12.5,1,7,14.3,0,0,-,1,3,4,3,1,0,2,2,-18
Bruce Brown,DET,12/14/19,2019-20,W,31,16,6,9,66.7,0,1,0,4,6,66.7,0,10,10,6,4,1,2,4,10
Lonnie Walker IV,SAS,12/14/19,2019-20,W,21,16,5,8,62.5,1,1,100,5,5,100,0,3,3,1,0,0,0,4,1
Marco Belinelli,SAS,12/14/19,2019-20,W,8,4,1,2,50,0,0,-,2,2,100,0,2,2,0,0,0,0,0,12
Jakob Poeltl,SAS,12/14/19,2019-20,W,16,5,1,2,50,0,0,-,3,4,75,4,7,11,2,0,1,0,0,11
Bryn Forbes,SAS,12/14/19,2019-20,W,16,0,0,8,0,0,5,0,0,0,-,1,2,3,2,0,0,0,1,-8
Rudy Gay,SAS,12/14/19,2019-20,W,32,10,2,10,20,0,3,0,6,7,85.7,0,10,10,3,0,2,3,3,12
Elie Okobo,PHX,12/14/19,2019-20,L,16,7,2,6,33.3,0,1,0,3,4,75,0,1,1,1,0,0,0,2,-10
Mikal Bridges,PHX,12/14/19,2019-20,L,32,5,1,3,33.3,0,1,0,3,4,75,1,9,10,4,2,0,1,3,-1
Frank Kaminsky,PHX,12/14/19,2019-20,L,32,22,10,19,52.6,2,8,25,0,3,0,1,6,7,4,0,1,1,1,11
Tyler Johnson,PHX,12/14/19,2019-20,L,16,2,0,5,0,0,3,0,2,2,100,0,1,1,1,1,1,0,2,-10
DeMar DeRozan,SAS,12/14/19,2019-20,W,34,18,7,15,46.7,0,1,0,4,7,57.1,2,4,6,3,0,1,3,5,-6
Cameron Johnson,PHX,12/14/19,2019-20,L,33,9,3,7,42.9,2,5,40,1,2,50,0,4,4,2,0,0,1,1,-7
Kelly Oubre Jr.,PHX,12/14/19,2019-20,L,41,17,5,15,33.3,2,7,28.6,5,5,100,0,8,8,0,1,0,0,4,9
Patty Mills,SAS,12/14/19,2019-20,W,32,26,10,23,43.5,6,14,42.9,0,0,-,1,4,5,1,2,0,2,0,4
Dario Saric,PHX,12/14/19,2019-20,L,38,19,8,17,47.1,1,6,16.7,2,2,100,1,16,17,4,0,0,2,4,3
LaMarcus Aldridge,SAS,12/14/19,2019-20,W,37,18,7,18,38.9,1,3,33.3,3,5,60,2,5,7,1,1,3,0,2,-9
Trey Lyles,SAS,12/14/19,2019-20,W,17,4,2,4,50,0,2,0,0,0,-,0,7,7,2,0,1,1,0,-7
Aron Baynes,PHX,12/14/19,2019-20,L,21,13,6,11,54.5,1,4,25,0,0,-,3,5,8,0,0,2,3,5,-13
Dejounte Murray,SAS,12/14/19,2019-20,W,31,18,8,12,66.7,0,0,-,2,4,50,0,7,7,5,2,1,1,4,-9
Ricky Rubio,PHX,12/14/19,2019-20,L,37,25,10,20,50,2,5,40,3,4,75,0,3,3,13,1,1,2,2,8
Derrick White,SAS,12/14/19,2019-20,W,22,2,1,4,25,0,1,0,0,0,-,0,1,1,3,1,0,1,3,9
Ivica Zubac,LAC,12/14/19,2019-20,L,15,4,2,6,33.3,0,0,-,0,2,0,0,3,3,0,0,0,1,3,-18
Maurice Harkless,LAC,12/14/19,2019-20,L,25,3,1,4,25,0,1,0,1,2,50,1,5,6,1,2,0,2,1,-25
Paul George,LAC,12/14/19,2019-20,L,31,27,9,20,45,3,6,50,6,7,85.7,0,4,4,6,2,0,6,1,-21
Coby White,CHI,12/14/19,2019-20,W,13,2,1,6,16.7,0,3,0,0,0,-,0,2,2,1,1,0,2,1,-16
Shaquille Harrison,CHI,12/14/19,2019-20,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Kris Dunn,CHI,12/14/19,2019-20,W,29,9,4,7,57.1,1,1,100,0,0,-,1,8,9,4,2,3,1,5,22
Zach LaVine,CHI,12/14/19,2019-20,W,36,31,11,21,52.4,4,7,57.1,5,6,83.3,3,1,4,2,2,0,3,1,10
Thaddeus Young,CHI,12/14/19,2019-20,W,20,17,7,12,58.3,2,5,40,1,2,50,1,3,4,3,1,0,3,4,-9
Landry Shamet,LAC,12/14/19,2019-20,L,21,11,4,5,80,3,4,75,0,0,-,1,3,4,0,0,0,1,2,-16
Terance Mann,LAC,12/14/19,2019-20,L,16,5,2,3,66.7,0,0,-,1,2,50,0,1,1,2,0,0,0,2,-16
Tomas Satoransky,CHI,12/14/19,2019-20,W,28,7,2,7,28.6,0,1,0,3,4,75,2,1,3,5,2,1,2,1,14
Wendell Carter Jr.,CHI,12/14/19,2019-20,W,36,14,6,10,60,0,0,-,2,2,100,3,4,7,1,2,4,1,5,2
Ryan Arcidiacono,CHI,12/14/19,2019-20,W,12,0,0,3,0,0,1,0,0,0,-,0,0,0,0,0,0,0,1,-7
Lauri Markkanen,CHI,12/14/19,2019-20,W,40,13,4,8,50,3,6,50,2,2,100,2,15,17,4,1,1,3,4,13
Patrick Patterson,LAC,12/14/19,2019-20,L,22,11,3,4,75,2,3,66.7,3,6,50,2,4,6,0,0,0,0,0,23
Denzel Valentine,CHI,12/14/19,2019-20,W,26,16,5,11,45.5,4,7,57.1,2,2,100,0,4,4,1,1,0,2,3,-16
Jerome Robinson,LAC,12/14/19,2019-20,L,23,6,2,5,40,1,2,50,1,1,100,0,3,3,5,0,0,2,3,7
Derrick Walton Jr.,LAC,12/14/19,2019-20,L,30,5,2,5,40,1,3,33.3,0,0,-,0,2,2,4,1,0,1,2,20
Montrezl Harrell,LAC,12/14/19,2019-20,L,33,30,9,24,37.5,0,1,0,12,14,85.7,4,3,7,0,2,3,2,2,15
Rodney McGruder,LAC,12/14/19,2019-20,L,24,4,1,4,25,0,2,0,2,2,100,0,4,4,2,2,1,0,1,16
D.J. Wilson,MIL,12/13/19,2019-20,W,21,11,5,7,71.4,1,3,33.3,0,0,-,1,3,4,1,0,0,0,2,-11
Giannis Antetokounmpo,MIL,12/13/19,2019-20,W,27,37,12,23,52.2,3,7,42.9,10,13,76.9,2,9,11,2,1,0,4,4,26
Marko Guduric,MEM,12/13/19,2019-20,L,13,0,0,5,0,0,4,0,0,0,-,0,2,2,0,1,0,0,0,-9
Donte DiVincenzo,MIL,12/13/19,2019-20,W,19,6,2,4,50,0,1,0,2,2,100,0,2,2,3,1,0,1,1,-5
Jaren Jackson Jr.,MEM,12/13/19,2019-20,L,29,43,14,21,66.7,9,15,60,6,9,66.7,0,5,5,1,0,1,3,5,-5
Dillon Brooks,MEM,12/13/19,2019-20,L,35,19,6,17,35.3,4,7,57.1,3,4,75,0,2,2,3,0,1,4,4,1
Tyus Jones,MEM,12/13/19,2019-20,L,25,10,4,8,50,1,2,50,1,1,100,1,1,2,7,1,0,1,1,-4
Jae Crowder,MEM,12/13/19,2019-20,L,33,15,3,11,27.3,3,9,33.3,6,6,100,0,11,11,4,1,1,2,2,-3
Jonas Valanciunas,MEM,12/13/19,2019-20,L,19,8,3,10,30,1,1,100,1,2,50,2,4,6,2,0,0,1,2,-2
Sterling Brown,MIL,12/13/19,2019-20,W,19,8,3,6,50,2,3,66.7,0,0,-,2,2,4,0,0,0,1,0,19
Thanasis Antetokounmpo,MIL,12/13/19,2019-20,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1
Eric Bledsoe,MIL,12/13/19,2019-20,W,17,12,3,6,50,0,1,0,6,6,100,0,4,4,4,1,0,2,1,7
Wesley Matthews,MIL,12/13/19,2019-20,W,25,4,2,6,33.3,0,2,0,0,0,-,1,3,4,0,0,0,0,4,4
George Hill,MIL,12/13/19,2019-20,W,29,8,2,5,40,1,2,50,3,3,100,2,4,6,5,0,0,0,2,5
Robin Lopez,MIL,12/13/19,2019-20,W,8,3,0,1,0,0,0,-,3,4,75,0,2,2,0,0,0,0,0,4
Brook Lopez,MIL,12/13/19,2019-20,W,24,10,4,8,50,1,4,25,1,2,50,1,9,10,2,0,3,1,4,-2
Bruno Caboclo,MEM,12/13/19,2019-20,L,14,2,1,3,33.3,0,1,0,0,0,-,2,2,4,0,2,1,0,4,-6
Khris Middleton,MIL,12/13/19,2019-20,W,35,26,10,19,52.6,3,6,50,3,3,100,0,3,3,3,1,0,6,2,3
Solomon Hill,MEM,12/13/19,2019-20,L,30,8,3,10,30,2,7,28.6,0,0,-,2,0,2,4,1,0,1,2,-2
Pat Connaughton,MIL,12/13/19,2019-20,W,16,2,1,2,50,0,1,0,0,0,-,0,5,5,2,0,0,2,1,16
De'Anthony Melton,MEM,12/13/19,2019-20,L,23,4,2,9,22.2,0,3,0,0,0,-,1,4,5,5,2,1,0,5,-9
Kyle Anderson,MEM,12/13/19,2019-20,L,19,5,2,4,50,0,0,-,1,1,100,3,3,6,1,1,0,1,1,-26
Montrezl Harrell,LAC,12/13/19,2019-20,W,32,18,7,13,53.8,0,0,-,4,5,80,3,1,4,0,0,0,3,5,-16
Andrew Wiggins,MIN,12/13/19,2019-20,L,39,34,12,20,60,2,7,28.6,8,8,100,1,2,3,2,1,0,4,4,-9
Josh Okogie,MIN,12/13/19,2019-20,L,31,6,2,7,28.6,0,4,0,2,3,66.7,0,4,4,2,0,0,3,4,-7
Jeff Teague,MIN,12/13/19,2019-20,L,33,22,6,9,66.7,0,2,0,10,11,90.9,1,3,4,5,0,1,1,2,13
Jordan Bell,MIN,12/13/19,2019-20,L,11,1,0,1,0,0,0,-,1,2,50,0,3,3,2,1,0,0,1,13
Patrick Patterson,LAC,12/13/19,2019-20,W,19,2,0,2,0,0,2,0,2,2,100,0,6,6,1,0,0,1,0,-10
Rodney McGruder,LAC,12/13/19,2019-20,W,15,0,0,3,0,0,2,0,0,0,-,1,2,3,0,0,0,0,4,-15
Paul George,LAC,12/13/19,2019-20,W,39,46,17,31,54.8,6,15,40,6,7,85.7,0,5,5,7,2,0,6,5,1
Karl-Anthony Towns,MIN,12/13/19,2019-20,L,35,39,12,22,54.5,5,10,50,10,13,76.9,4,8,12,3,2,0,5,4,4
Jarrett Culver,MIN,12/13/19,2019-20,L,18,0,0,5,0,0,3,0,0,0,-,1,1,2,0,0,0,0,2,-18
Keita Bates-Diop,MIN,12/13/19,2019-20,L,11,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-10
Treveon Graham,MIN,12/13/19,2019-20,L,3,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,1,0,-2
